Date,Hour,Temperature,Humidity,Wind_speed,Visibility,Dew_point_temperature,Solar_Radiation,Rainfall,Snowfall
2017-12-01,0,-5.2,37,2.2,2000,-17.6,0,0,0
2017-12-01,1,-5.5,38,0.8,2000,-17.6,0,0,0
2017-12-01,2,-6,39,1,2000,-17.7,0,0,0
2017-12-01,3,-6.2,40,0.9,2000,-17.6,0,0,0
2017-12-01,4,-6,36,2.3,2000,-18.6,0,0,0
2017-12-01,5,-6.4,37,1.5,2000,-18.7,0,0,0
2017-12-01,6,-6.6,35,1.3,2000,-19.5,0,0,0
2017-12-01,7,-7.4,38,0.9,2000,-19.3,0,0,0
2017-12-01,8,-7.6,37,1.1,2000,-19.8,0.01,0,0
2017-12-01,9,-6.5,27,0.5,1928,-22.4,0.23,0,0
2017-12-01,10,-3.5,24,1.2,1996,-21.2,0.65,0,0
2017-12-01,11,-0.5,21,1.3,1936,-20.2,0.94,0,0
2017-12-01,12,1.7,23,1.4,2000,-17.2,1.11,0,0
2017-12-01,13,2.4,25,1.6,2000,-15.6,1.16,0,0
2017-12-01,14,3,26,2,2000,-14.6,1.01,0,0
2017-12-01,15,2.1,36,3.2,2000,-11.4,0.54,0,0
2017-12-01,16,1.2,54,4.2,793,-7,0.24,0,0
2017-12-01,17,0.8,58,1.6,2000,-6.5,0.08,0,0
2017-12-01,18,0.6,66,1.4,2000,-5,0,0,0
2017-12-01,19,0,77,1.7,2000,-3.5,0,0,0
2017-12-01,20,-0.3,79,1.5,1913,-3.5,0,0,0
2017-12-01,21,-0.8,81,0.8,1687,-3.6,0,0,0
2017-12-01,22,-0.9,83,1.5,1380,-3.4,0,0,0
2017-12-01,23,-1.3,84,1,1265,-3.6,0,0,0
2017-12-02,0,-1.8,87,1.1,994,-3.6,0,0,0
2017-12-02,1,-2.2,86,0.6,990,-4.2,0,0,0
2017-12-02,2,-2.9,86,1.5,1256,-4.9,0,0,0
2017-12-02,3,-3.5,81,2.2,1221,-6.2,0,0,0
2017-12-02,5,-4,79,1.5,1202,-7.1,0,0,0
2017-12-02,6,-4.3,82,2.1,1178,-6.9,0,0,0
2017-12-02,7,-4.4,81,2.5,1276,-7.1,0,0,0
2017-12-02,8,-4.2,79,2.1,1436,-7.3,0.01,0,0
2017-12-02,9,-2.9,68,1.6,1487,-7.9,0.3,0,0
2017-12-02,10,-0.4,57,1.6,1309,-7.8,0.8,0,0
2017-12-02,11,1.9,49,1.8,1406,-7.7,1,0,0
2017-12-02,12,4.3,41,1.3,1666,-7.8,1.09,0,0
2017-12-02,13,6,36,1.8,1780,-7.9,1.12,0,0
2017-12-02,14,7.3,35,1.3,1955,-7.1,0.99,0,0
2017-12-02,15,7.6,41,2.3,1953,-4.8,0.74,0,0
2017-12-02,16,6.4,48,2.6,1945,-3.8,0.22,0,0
2017-12-02,17,6,51,2.5,1891,-3.3,0.06,0,0
2017-12-02,18,5.5,53,1.5,1697,-3.3,0,0,0
2017-12-02,19,5,52,2.3,1666,-4,0,0,0
2017-12-02,20,4.6,51,1.2,1585,-4.6,0,0,0
2017-12-02,21,4.1,55,1.2,1448,-4.1,0,0,0
2017-12-02,22,3.5,54,1.5,1446,-4.9,0,0,0
2017-12-02,23,4,56,1,1352,-4,0,0,0
2017-12-03,0,4,58,1.4,1296,-3.5,0,0,0
2017-12-03,1,3.9,69,1.7,485,-1.2,0,0,0
2017-12-03,2,3.3,79,1.4,830,0,0,0,0
2017-12-03,3,3.4,71,1.6,1011,-1.3,0,0.5,0
2017-12-03,4,3.5,73,1,1060,-0.8,0,0,0
2017-12-03,5,3.9,75,1.9,914,-0.1,0,0,0
2017-12-03,6,3.4,86,2.5,278,1.2,0,1,0
2017-12-03,8,3.2,92,1.8,244,2,0,0,0
2017-12-03,10,4.4,89,2.2,257,2.7,0.24,0,0
2017-12-03,11,5.1,87,1.4,321,3.1,0.25,0,0
2017-12-03,12,5.8,85,1.7,349,3.4,0.43,0,0
2017-12-03,13,6.8,81,1.9,390,3.7,0.6,0,0
2017-12-03,14,7.6,76,1.2,422,3.6,0.69,0,0
2017-12-03,15,8,73,1.6,433,3.4,0.53,0,0
2017-12-03,16,7.6,77,1.6,399,3.8,0.2,0,0
2017-12-03,17,6.7,82,1.5,358,3.8,0.05,0,0
2017-12-03,18,6,84,1.9,327,3.4,0,0,0
2017-12-03,19,5.7,85,1.7,309,3.3,0,0,0
2017-12-03,20,5.2,87,1.4,253,3.2,0,0,0
2017-12-03,21,4.7,87,1.2,247,2.7,0,0,0
2017-12-03,22,4.3,89,1.8,201,2.6,0,0,0
2017-12-03,23,3.9,90,1.3,194,2.4,0,0,0
2017-12-04,0,4.2,88,0.6,216,2.3,0,0,0
2017-12-04,1,4.3,87,0.5,221,2.3,0,0,0
2017-12-04,2,4.4,87,1.8,207,2.4,0,0,0
2017-12-04,3,3.6,85,2.3,206,1.3,0,0,0
2017-12-04,4,2.8,89,1.5,130,1.1,0,0,0
2017-12-04,5,2,83,2.7,253,-0.5,0,0,0
2017-12-04,6,1.2,76,3.7,371,-2.5,0,0.1,0
2017-12-04,7,0.2,68,3.4,702,-5,0,0,0
2017-12-04,9,-1.5,47,4.2,1888,-11.3,0.22,0,0
2017-12-04,10,-1.1,40,4.5,2000,-13,0.64,0,0
2017-12-04,11,-0.5,41,4.1,1799,-12.1,0.94,0,0
2017-12-04,12,-0.3,38,4.8,1823,-12.9,1.11,0,0
2017-12-04,13,0,30,5.4,1938,-15.5,1.17,0,0
2017-12-04,15,-0.1,25,5.8,2000,-17.8,0.88,0,0
2017-12-04,16,-0.2,23,4.7,2000,-18.8,0.55,0,0
2017-12-04,17,-1.3,26,5.3,2000,-18.3,0.18,0,0
2017-12-04,18,-2.1,29,3.9,2000,-17.7,0,0,0
2017-12-04,19,-2.9,32,3.2,2000,-17.3,0,0,0
2017-12-04,20,-3.6,38,3,2000,-15.8,0,0,0
2017-12-04,21,-4.6,43,4.5,2000,-15.3,0,0,0
2017-12-04,22,-5.3,45,2.5,2000,-15.3,0,0,0
2017-12-04,23,-5.8,44,2.4,2000,-16.1,0,0,0
2017-12-05,0,-6.1,42,2.6,2000,-16.9,0,0,0
2017-12-05,1,-6.5,41,2.8,2000,-17.6,0,0,0
2017-12-05,3,-6.9,39,2,2000,-18.5,0,0,0
2017-12-05,4,-7.2,34,3,2000,-20.4,0,0,0
2017-12-05,6,-7.4,34,3.2,2000,-20.6,0,0,0
2017-12-05,7,-7.5,33,2.2,2000,-21,0,0,0
2017-12-05,8,-8.1,36,1.6,2000,-20.5,0.01,0,0
2017-12-05,9,-7.6,31,1.3,1974,-21.8,0.21,0,0
2017-12-05,10,-5.5,26,2.8,1967,-22,0.64,0,0
2017-12-05,12,-2.3,25,0,1962,-19.7,0,0,0
2017-12-05,13,-1.6,27,0,1955,-18.2,0,0,0
2017-12-05,14,-1.1,28,0,2000,-17.3,0,0,0
