"Date","nbre_location"
2017-12-01,9585
2017-12-02,8571
2017-12-03,7270
2017-12-04,8777
2017-12-05,8355
2017-12-06,6717
2017-12-07,8597
2017-12-08,8080
2017-12-09,7281
2017-12-10,3501
2017-12-11,5896
2017-12-12,5544
2017-12-13,6067
2017-12-14,6446
2017-12-15,7246
2017-12-16,4680
2017-12-17,3824
2017-12-18,2668
2017-12-19,4382
2017-12-20,4616
2017-12-21,5782
2017-12-22,7232
2017-12-23,6672
2017-12-24,2062
2017-12-25,4014
2017-12-26,5653
2017-12-27,5399
2017-12-28,6642
2017-12-29,7711
2017-12-30,4074
2017-12-31,3471
2018-01-01,4338
2018-01-02,6494
2018-01-03,6559
2018-01-04,6501
2018-01-05,7015
2018-01-06,5228
2018-01-07,4762
2018-01-08,5759
2018-01-09,5548
2018-01-10,4209
2018-01-11,4065
2018-01-12,4159
2018-01-13,3551
2018-01-14,4273
2018-01-15,6382
2018-01-16,6753
2018-01-17,6340
2018-01-18,6431
2018-01-19,7520
2018-01-20,5624
2018-01-21,5021
2018-01-22,4550
2018-01-23,4029
2018-01-24,3202
2018-01-25,3161
2018-01-26,2979
2018-01-27,2741
2018-01-28,2876
2018-01-29,4136
2018-01-30,3408
2018-01-31,3878
2018-02-01,5425
2018-02-02,6002
2018-02-03,3338
2018-02-04,2535
2018-02-05,3980
2018-02-06,4035
2018-02-07,4745
2018-02-08,5661
2018-02-09,6316
2018-02-10,4473
2018-02-11,2898
2018-02-12,4861
2018-02-13,6315
2018-02-14,6818
2018-02-15,3532
2018-02-16,2641
2018-02-17,3166
2018-02-18,4610
2018-02-19,7652
2018-02-20,8003
2018-02-21,7539
2018-02-22,7760
2018-02-23,5845
2018-02-24,6403
2018-02-25,6548
2018-02-26,9295
2018-02-27,8910
2018-02-28,3868
2018-03-01,5179
2018-03-02,8481
2018-03-03,12239
2018-03-04,4736
2018-03-05,8645
2018-03-06,12051
2018-03-07,11218
2018-03-08,7758
2018-03-09,11690
2018-03-10,11112
2018-03-11,11891
2018-03-12,13387
2018-03-13,16011
2018-03-14,19228
2018-03-15,6275
2018-03-16,15325
2018-03-17,15437
2018-03-18,9657
2018-03-19,9016
2018-03-20,11563
2018-03-21,7432
2018-03-22,14055
2018-03-23,15017
2018-03-24,12291
2018-03-25,11255
2018-03-26,13268
2018-03-27,14778
2018-03-28,17409
2018-03-29,17522
2018-03-30,19396
2018-03-31,19337
2018-04-01,17324
2018-04-02,21697
2018-04-03,20886
2018-04-04,20124
2018-04-05,2264
2018-04-06,11794
2018-04-07,11250
2018-04-08,6586
2018-04-09,19418
2018-04-10,16259
2018-04-11,552
2018-04-12,22798
2018-04-13,23427
2018-04-14,6839
2018-04-15,10181
2018-04-16,23348
2018-04-17,22294
2018-04-18,21722
2018-04-19,17811
2018-04-20,22795
2018-04-21,24571
2018-04-22,6155
2018-04-23,1157
2018-04-24,20515
2018-04-25,26489
2018-04-26,25689
2018-04-27,26022
2018-04-28,25001
2018-04-29,25176
2018-04-30,25723
2018-05-01,26698
2018-05-02,7245
2018-05-03,21338
2018-05-04,26890
2018-05-05,25338
2018-05-06,14649
2018-05-07,28122
2018-05-08,26317
2018-05-09,28391
2018-05-10,772
2018-05-11,26835
2018-05-12,2364
2018-05-13,26397
2018-05-14,28024
2018-05-15,28424
2018-05-16,5920
2018-05-17,3580
2018-05-18,16695
2018-05-19,31339
2018-05-20,27557
2018-05-21,31574
2018-05-22,12913
2018-05-23,28467
2018-05-24,28882
2018-05-25,29261
2018-05-26,28229
2018-05-27,28719
2018-05-28,31139
2018-05-29,24069
2018-05-30,30757
2018-05-31,31848
2018-06-01,11821
